2.jpg	The objects are beige in color, oval in shape, and are located on the left side of the scene.
501.jpg	A flock of objects in various shades of brown and white are flying in formation over a grassy field.
502.jpg	A flock of objects, predominantly white with black heads and necks, are flying in formation against a pale sky.
503.jpg	A group of objects, predominantly black with white patches, are flying in a V-formation against a clear blue sky.
504.jpg	A flock of objects, predominantly black with white patches, are swimming in the foreground.
505.jpg	A flock of objects in flight, predominantly black with white patches, silhouetted against a vibrant sunset.
507.jpg	A flock of objects in flight, predominantly black with white patches, is captured against a clear blue sky.
508.jpg	A line of Canada objects, predominantly black with white patches, are gathered along the grassy edge of the pond.
509.jpg	A flock of objects in various shades of brown and black fly in a V-formation over the calm sea.
510.jpg	A flock of objects in flight, predominantly white with black wingtips, flying against a soft blue sky.
512.jpg	A flock of objects in various shades of brown and black fly in a V formation against a warm orange sky.
513.jpg	A flock of objects in various shades of brown and white, flying in a V-formation against a dusky sky.
515.jpg	A flock of objects in flight, predominantly black with white patches, is captured against a cloudy sky.
516.jpg	A flock of objects, predominantly black with white patches, fly in a V-formation against a soft, hazy sky.
517.jpg	A flock of objects in flight, predominantly black with white patches.
518.jpg	A flock of objects, predominantly black with white patches, are flying over the water.
519.jpg	A flock of objects, predominantly black with white patches, are flying over a misty lake.
520.jpg	A flock of objects in flight, predominantly white with black wingtips, silhouetted against a misty forest backdrop.
521.jpg	A flock of objects in various shades of brown and white, flying in a V-formation against a backdrop of a mountainous landscape.
522.jpg	A flock of objects, predominantly black, is flying in formation above a fence in the foreground.
523.jpg	A flock of objects, predominantly white with black heads, are flying low over the water.
524.jpg	A flock of objects, predominantly black with white patches, is flying in formation across the sky.
525.jpg	A flock of objects in a V-formation, mostly black with white patches.
526.jpg	A flock of objects, predominantly black with white patches, fly in a V-formation above the lighthouse.
527.jpg	A flock of objects in various shades of brown and black fly in a V-formation against a blue sky with scattered clouds.
528.jpg	A flock of objects in flight, predominantly black with white patches, scattered across the sky.
529.jpg	A flock of objects, mostly black with white patches, are flying low over the water.
531.jpg	A flock of objects in flight, predominantly brown with white patches, flying against a clear blue sky.
532.jpg	A group of objects, predominantly in shades of brown and gray, are captured mid-flight with their wings spread wide, set against a backdrop of a lush green field.
533.jpg	A flock of objects, predominantly brown with white patches, are flying in formation against a backdrop of snow-capped mountains.
534.jpg	A flock of objects with brown bodies and white heads fly in a V-formation against a clear blue sky.
535.jpg	A flock of objects in flight, predominantly black with white patches, is captured against a backdrop of a cloudy sky.
536.jpg	A flock of objects in various shades of brown and white, flying in a V-formation against a clear sky.
538.jpg	A flock of objects in various shades of brown and white, flying in formation against a vibrant sunset sky.
539.jpg	A flock of objects in various shades of brown and white are flying in formation above a clear sky.
540.jpg	A group of objects, predominantly brown with white patches, are swimming in a calm body of water.
541.jpg	A flock of objects in flight, predominantly white with black heads and necks, flying in a V-formation against a clear blue sky.
542.jpg	A flock of objects, predominantly black with white patches, are flying in formation below the colorful hot air balloon.
543.jpg	A flock of objects in various shades of brown and white are flying in formation against a clear blue sky.
544.jpg	A flock of objects in various shades of brown fly in a V-formation against a clear blue sky.
545.jpg	A flock of objects in flight, predominantly black with white patches, flying against a cloudy sky.
546.jpg	A group of white objects with orange beaks are swimming in the dark water.
547.jpg	A flock of objects in various shades of brown and gray fly in a V-formation against a dusky sky.
548.jpg	A flock of objects in various shades of brown and white fly in a V-formation against a clear blue sky.
549.jpg	A flock of objects is crossing the street. They are predominantly brown with white patches and are located on the right side of the image.
550.jpg	A flock of objects in flight, predominantly black, with long necks and legs, soaring against a light gray sky.
551.jpg	A flock of objects in flight, predominantly black with white patches, is captured against a backdrop of a soft, pastel sky.
